id,name,lastname,email,sex,longitude,latitude,rut,strength,dextery,knowledge,motivation,leadership
1,Carlita,Karczinski,ckarczinski0@irs.gov,Female,-70.0304205467103,-20.8958892768838,9985171-6,2,2,10,9,4
2,Gerik,Cars,gcars1@flavors.me,Male,-70.110894271425,-20.7936949725973,9934488-1,10,5,10,1,8
3,Ossie,Sheryn,osheryn2@booking.com,Male,-69.9469408662982,-21.2147925125998,9909018-9,8,7,3,8,10
4,Tobe,Castagneri,tcastagneri3@indiegogo.com,Female,-69.9532284707566,-20.0924306984322,9906691-1,7,5,1,9,7
5,Venus,Jorgesen,vjorgesen4@privacy.gov.au,Female,-70.0418768869521,-20.275823647603,9870383-7,7,1,1,1,6
6,Gloriana,Paulot,gpaulot5@ameblo.jp,Female,-69.9983608423759,-20.2460256468063,9827517-7,1,10,1,4,9
7,Wells,Larvin,wlarvin6@posterous.com,Male,-69.8902606030894,-20.1663393227811,9796207-3,7,1,7,8,1
8,Nico,Ranstead,nranstead7@mlb.com,Male,-69.6479865367381,-20.1939207598008,9729317-1,4,2,10,5,5
9,Edan,Kamall,ekamall8@mozilla.com,Male,-69.0144354893401,-20.796939803665,9706885-2,8,7,8,10,10
10,Morten,Stanford,mstanford9@1688.com,Male,-69.7212377463126,-19.573282356656,9692719-3,1,4,9,9,7
11,Raynor,Norfolk,rnorfolka@com.com,Male,-69.6683846033383,-19.5131073424502,9692214-0,1,4,7,5,10
12,Aurel,Greenier,agreenierb@engadget.com,Female,-69.7401575365727,-19.386367948247,9641813-2,9,7,2,1,4
13,Francois,Cardwell,fcardwellc@unesco.org,Male,-68.7097403801537,-19.1956609585068,9596781-7,5,1,1,1,3
14,Elnore,Garrud,egarrudd@cbslocal.com,Female,-69.0163043091261,-19.4522662204213,9587764-8,3,6,4,5,5
15,Chrissy,Proudlove,cproudlovee@dailymail.co.uk,Male,-69.2305527490517,-19.0980108657135,9578612-k,1,4,8,7,7
16,Caro,Fattorini,cfattorinif@nifty.com,Female,-69.427524195797,-19.0999387952177,9573659-9,5,1,6,10,8
17,Caz,Boyson,cboysong@exblog.jp,Male,-69.68352832699,-20.0269551193681,9388877-4,10,5,6,9,4
18,Laurens,Marikhin,lmarikhinh@studiopress.com,Male,-69.4232945423808,-19.7315089568983,9368691-8,3,8,3,9,6
19,Merell,Loxdale,mloxdalei@dell.com,Male,-68.949415201192,-20.362749385906,9364256-2,10,5,7,5,1
